,Unnamed: 0,date,text,GPE,gpe,country,score
9029,9029,2019-08-28 14:45:28,....And by the way I’m the best thing that’s ever happened to Puerto Rico!,,Puerto Rico,Puerto Rico,0.6696
3575,3575,2016-02-18 19:42:00,@FoxNews - Pope who lives in a Vatican city fortified with huge walls thinks it's wrong to build walls?,,Vatican,Vatican City,-0.2023
7278,7278,2018-12-03 12:54:30,My meeting in Argentina with President Xi of China was an extraordinary one.,,Argentina,Argentina,0.0
6719,6719,2018-09-20 11:37:55,....The thing that’s lacking is we can’t properly secure the Border because of the Democrats historic level of Obstruction.” Senator David Perdue of Georgia.,,Georgia,United States,0.34
268,268,2011-12-12 21:31:28,Why did @BarackObama let Iran keep our drone?,,Iran,Iran,0.0
7991,7991,2019-05-08 17:42:44,Our Nation grieves at the unspeakable violence that took a precious young life and badly injured others in Colorado.,,Colorado,United States,-0.8519
5703,5703,2018-02-27 22:55:36,Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do and I back him now.,,Texas,United States,0.0258
2337,2337,2014-07-30 19:36:03,Obama should work on a ceasefire in Chicago as well as Gaza.,,Chicago,United States,0.2732
9963,9963,2019-12-08 23:14:19,RT @RepDougCollins: The average American outside of D.C. understands due process.,,D.C.,United States,0.0
5645,5645,2018-02-05 12:39:10,Adam leaves closed committee hearings to illegally leak confidential information.,,Adam,Oman,-0.34
2356,2356,2014-08-04 23:51:51,The bigger problem with Ebola is all of the people coming into the U.S. from West Africa who may be infected with the disease.,,West Africa,Zambia,-0.7096
613,613,2012-06-05 20:10:00,China's best friend @BarackObama wants to cut the US fleet down to 230 ships the lowest level since WWI.http://bit.ly/Mvg74D,,China,China,0.5719
5584,5584,2018-01-12 02:49:56,More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant relocating their heavy-truck production from Mexico to Michigan adding 2500 new jobs and paying $2000 bonus to U.S. employees!,,Michigan,United States,0.7897
9197,9197,2019-09-09 21:34:41,Speaking to Governor @HenryMcMaster of South Carolina on my way to North Carolina for a big rally for Dan Bishop (@jdanbishop) running for Congress.,,North Carolina,United States,0.0
5775,5775,2018-03-21 18:56:14,I called President Putin of Russia to congratulate him on his election victory (in past Obama called him also).,,Obama,Japan,0.4939
2280,2280,2014-07-09 13:26:20,Boycott Mexico?,,Boycott Mexico,Mexico,-0.3182
8288,8288,2019-06-07 16:36:55,No visible increase in costs or inflation but U.S. is taking in Billions!,,U.S.,United States,0.08800000000000001
8229,8229,2019-05-31 20:35:41,I will be announcing my Second Term Presidential Run with First Lady Melania Vice President Mike Pence and Second Lady Karen Pence on June 18th in Orlando Florida at the 20000 seat Amway Center.,,Orlando,United States,0.0
1547,1547,2013-06-18 14:22:43,Snowden is doing great damage to our relations with other countries and U.S.prestige.,,U.S.prestige,United States,0.2263
1133,1133,2012-12-19 15:07:04,In Las Vegas for the Miss Universe Pageant—airing tonight on @nbc at 8 o’clock.,,Las Vegas,United States,-0.1531
7042,7042,2018-11-03 16:48:27,We need John’s voice in D.C. His opponent just moved to the area - is Pro-Iran and Anti-Israel.,,D.C.,United States,0.0
9376,9376,2019-10-01 22:15:28,REPUBLICANS of Louisiana it is really important for you to go out and vote on October 12th for either Eddie Rispone or Ralph Abraham (both Great) which will lead to a runoff against....,,Louisiana,United States,0.2716
9198,9198,2019-09-09 21:47:41,Departing MCAS Cherry Point in North Carolina for Fayetteville North Carolina.,,North Carolina,United States,0.0
22,22,2010-09-02 16:37:23,Check out Trump International Hotel & Tower New York --spectacular!,,New York,United States,0.0
10053,10053,2019-12-18 13:18:33,....said “I’m going to clean up Washington I’m going to help people.” He gave big tax cuts he’s made our military strong.,,Washington,United States,0.7579
6641,6641,2018-09-08 15:45:28,Make your products in the United States instead of China.,,the United States,United States,0.4215
1163,1163,2013-01-03 21:17:37,The Trump Organization is going revolutionize Rio de Janeiro’s downtown port area with Trump Towers.,,Rio de Janeiro,Brazil,0.0
