,Unnamed: 0,date,text,gpe,country,score
0,0,2019-04-04 12:23:00,Hereâ€™s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it.,Nashville,United States,0.5859
1,1,2019-03-26 11:33:00,Last night I had the chance to meet with first-term Democrats in Congressâ€”it's a young diverse class stocked with a bunch of my campaign and administration alums whoâ€™ve taken the torch.,Congressâ€”it,Italy,0.25
2,2,2019-03-20 07:20:00,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabweÂ â€¦,Zimbabwe,Zimbabwe,0.1027
3,3,2019-03-17 06:56:00,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life.,Moneygall,Ireland,0.0
4,4,2019-03-17 06:56:00,Happy St. Patrick's Day!,St. Patrick's Day,United States,0.6114
5,5,2019-03-15 06:15:00,Michelle and I send our condolences to the people of New Zealand.,New Zealand,New Zealand,0.0
6,6,2019-03-10 18:02:00,Michelle and I send our deepest sympathies to all who knew the victims of todayâ€™s plane crash in Ethiopia.,Ethiopia,Ethiopia,-0.6124
7,7,2019-03-08 08:03:00,We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and itâ€™s great to see that happening.pic.twitter.com/Dsu5mZcaCZ,U.S.,United States,0.7506
8,8,2019-03-08 05:31:00,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up.,@SeforaKodjo,Central African Republic,0.29600000000000004
9,9,2019-03-08 05:31:00,@BarbeAlice is helping refugees resettle into welcoming communities in France offering them job training and language immersion as well as a place to stay.,France,France,0.7351
10,10,2019-02-16 12:40:00,Iâ€™ve always loved basketball because itâ€™s about building a team thatâ€™s equal to more than the sum of its parts.,thatâ€™,None,0.5994
11,11,2019-02-16 12:40:00,Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208Â â€¦,court.https://twitter.com/NBA/status/1096862836989534208Â,Brazil,0.4588
12,12,2019-02-14 07:18:00,In the year since their friends were killed the students of Parkland refused to settle for the way things are and marched organized and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country.,Parkland,United States,-0.765
13,13,2019-02-01 08:08:00,As we celebrate Black History Month and Jackie Robinsonâ€™s 100th birthday we celebrate the life of all whose courage opened the gates for everybody and in the process made America better.pic.twitter.com/Fl9aDxqcGi,America,United States,0.8909999999999999
