,Unnamed: 0,date,text,GPE,gpe,country,score
696,696,2013/10/30_13:36,Both parties working together to get the job doneâ€”that's what we need in Washington.,,Washington,United States,0.4019
882,882,2013/02/16_08:10,America only moves forward when we do so togetherâ€”when we accept certain obligations to one another.http://OFA.BO/NmaATnÂ,,America,United States,0.6077
483,483,2014/07/01_11:48,If all of you are fighting alongside me every single day â€¦ then we're going to make America better than ever.,,America,United States,0.1027
923,923,2013/01/21_08:52,Barack Obama has been sworn in for a second term as President of the United States.,,the United States,United States,0.4215
45,45,2017/10/21_17:02,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this yearâ€™s hurricanes.,,Texas,United States,0.4019
606,606,2014/02/04_10:00,http://ofa.bo/b3uÂ  #ThisIsWhypic.twitter.com/EmdORCi84l,,http://ofa.bo/b3uÂ,Russia,0.0
60,60,2016/09/07_14:47,Rising sea levels are already flooding homes and roads along America's coasts.,,America,United States,0.0
692,692,2013/11/06_13:01,If Texas expanded Medicaid under #Obamacare 1.2 million people would gain health insurance.,,Texas,United States,0.5267
924,924,2013/01/21_08:50,Joe Biden has been sworn in for a second term as Vice President of the United States.,,the United States,United States,0.4215
421,421,2014/09/22_07:38,Doug is a rancher in New Mexico and he's feeling the effects of climate change firsthand: http://ofa.bo/a0xwÂ  #ActOnClimate,,New Mexico,United States,0.128
528,528,2014/04/24_10:35,Add your name: http://ofa.bo/hZaÂ,,http://ofa.bo/hZaÂ,Russia,0.0
428,428,2014/09/19_09:30,â€”President Obama #ItsOnUs,,Obama,Japan,0.0
348,348,2015/01/20_18:38,Free community college is possibleâ€”and I want to spread that idea all across America.,,America,United States,0.5574
890,890,2013/02/14_08:12,The President's plan begins with making America a magnet for jobs and high-tech manufacturing: http://OFA.BO/j71u4kÂ  #JobsNow,,America,United States,0.0
11,11,2019/02/16_12:40,Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208Â â€¦,,court.https://twitter.com/NBA/status/1096862836989534208Â,Brazil,0.4588
298,298,2015/04/23_14:31,That's what America is about.,,America,United States,0.0
788,788,2013/07/17_10:36,"â€œHealth insurance has suddenly become affordable in New York.""",,New York,United States,0.0
956,956,2012/11/06_17:20,Reminder: If you're waiting to vote in Florida #StayInLine!,,Florida,United States,0.0
611,611,2014/01/30_15:19,If every child is successful ... then the America my child grows up in will be more successful.,,America,United States,0.8225
716,716,2013/09/18_11:53,If our changing climate goes unchecked it will have devastating impacts on the United States and the planet.,,the United States,United States,-0.3612
251,251,2015/06/27_07:02,In the weekly address the President reaffirms how the Supreme Court ruling on #Obamacare is a victory for America:http://ofa.bo/g8YpÂ,,America,United States,0.5574
363,363,2015/01/07_13:50,We may not all be rooting for the Lions but America is rooting for Detroit.,,America,United States,0.0
866,866,2013/03/17_07:54,Happy St. Patrick's Day!pic.twitter.com/Xtx1qxXUWs,,St. Patrick's,United States,0.6114
131,131,2016/01/30_08:35,Have a worry-free weekend and take care of this right now: http://ofa.bo/z081Â  #GetCoveredpic.twitter.com/loHWJlPGNx,,http://ofa.bo/z081Â,Russia,0.4939
531,531,2014/04/16_13:20,Everybody has a chanceâ€”that's the idea of America.,,America,United States,0.0
893,893,2013/02/13_09:13,Watch live: President Obama speaks in North Carolina about his plan to create jobs and grow our economy.,,North Carolina,United States,0.2732
563,563,2014/03/07_14:50,â€”President Obama on the brave men and women who marched on Bloody Sunday in 1955,,Bloody,None,0.128
425,425,2014/09/19_09:39,â€”President Obama #ItsOnUs,,Obama,Japan,0.0
711,711,2013/10/09_14:05,@OFA_MA and @RaiseUpMA volunteers are working for a better minimum wage in Massachusetts.,,@RaiseUpMA,None,0.4404
86,86,2016/06/10_13:56,America shifts.,,America,United States,0.0
260,260,2015/06/25_08:44,America would have gone backwards.,,America,United States,0.0
857,857,2013/04/02_07:08,"Itâ€™s what America is all about.""",,America,United States,0.0
547,547,2014/04/02_12:09,We just went through the first month since 2003 where no U.S. soldier was killed in either Afghanistan or Iraq.,,U.S.,United States,-0.7717
550,550,2014/04/02_11:59,â€”President Obama on @Zingermans in Michigan,,Michigan,United States,0.0
407,407,2014/10/15_07:47,#LetsMove MT @FLOTUS: The First Lady wants to knowâ€¦ #TurnipForWhat?,,knowâ€,None,0.0
904,904,2013/02/12_18:41,"President Obama: ""Letâ€™s prove that there is no better place to do business than the United States of America.""",,the United States of America,United States,0.5423
457,457,2014/08/04_17:37,http://ofa.bo/d0R2Â,,http://ofa.bo/d0R2Â,Russia,0.0
854,854,2013/04/03_09:40,FACT: Almost twice as many people were murdered by guns from 2001-2010 in Arizona than killed in combat in Afghanistan.,,Afghanistan,Afghanistan,-0.9062
668,668,2013/11/27_10:28,Parents: Turkey isn't the only thing to talk about at Thanksgiving this year.,,Turkey,Turkey,0.0
640,640,2014/01/01_10:21,#ThisIsWhy Virginia can go to the doctor again: http://ofa.bo/dEÂ,,Virginia,United States,0.0
304,304,2015/04/20_08:51,â€”President Obama #FindYourParkpic.twitter.com/Ars1nVGcxF,,Obama,Japan,0.0
311,311,2015/04/02_15:15,LIVE: President Obama is speaking in Louisville Kentucky about the economy.,,Kentucky,United States,0.0
495,495,2014/06/26_16:10,You could win a free trip to Chicago this summer.,,Chicago,United States,0.7964
157,157,2015/12/26_12:16,Enter nowâ€”and you and a friend could be headed to Alaska: http://ofa.bo/i9ZFÂ,,Alaska,United States,0.4939
847,847,2013/04/04_13:15,â€”Yesica who moved here at 6 months old: http://OFA.BO/QdnVz6Â  #AmericanStory,,â€”Yesica,None,0.0
123,123,2016/02/29_12:53,One-third of all U.S. presidents appointed a Supreme Court justice in an election year.,,U.S.,United States,0.7906
68,68,2016/08/20_09:04,http://ofa.bo/2bEPI3XÂ,,http://ofa.bo/2bEPI3XÂ,Russia,0.0
815,815,2013/06/13_17:12,Don't miss @selcharrodeoro's encore performance of the national anthem at the #NBAFinals in San Antonio tonight.,,San Antonio,United States,0.1139
461,461,2014/07/30_09:06,WATCH: President Obama is speaking about the economy from the @UptownTheater in Kansas City.,,@UptownTheater,United States,0.0
619,619,2014/01/29_11:05,Happening now: The President is in West Mifflin Pennsylvania to discuss ways to help Americans save for retirement.http://ofa.bo/e2tÂ,,West Mifflin,United States,0.7096
565,565,2014/03/07_12:20,Retweet if you agree every child in America should have access to a world class education.,,America,United States,0.3612
149,149,2016/01/08_14:29,Read President Obama's @NYTimes op-ed on how we all play a part in efforts to help #StopGunViolence in America:http://ofa.bo/h9koÂ,,Obama,Japan,0.6249
564,564,2014/03/07_12:32,I want us to have the best educated workforce in America and I want it to be the most diverse workforce in the world.,,America,United States,0.7003
586,586,2014/02/25_12:45,President Obama: I don't want the next big job-creating discovery to come from Germany China or Japan.,,China,China,-0.0572
35,35,2018/02/15_09:12,We are grieving with Parkland.,,Parkland,United States,-0.5106
455,455,2014/08/07_18:31,Happening now: President Obama delivers a statement on the situation in Iraq.,,Iraq,Iraq,0.0
156,156,2015/12/28_08:53,Find it in Alaska.,,Alaska,United States,0.0
87,87,2016/06/02_09:53,Gun violence takes far too many lives in America.,,America,United States,-0.7579
403,403,2014/11/07_12:58,http://ofa.bo/h1QVÂ  #RaiseTheWage,,http://ofa.bo/h1QVÂ,Russia,0.0
306,306,2015/04/14_10:38,When women succeed America succeeds.,,America,United States,0.7506
546,546,2014/04/02_12:12,In America we do not believe in opportunity just for the fewâ€”we believe that everybody should have a chance at success.,,America,United States,0.5216
694,694,2013/11/05_15:22,It's official: Marriage equality is coming to Illinois.,,Illinois,United States,0.0
444,444,2014/08/30_10:39,In America no one who works full-time should ever have to raise a family in poverty.,,America,United States,-0.6705
64,64,2016/08/26_11:45,Say you'll continue the fight to make gender equality a reality in America: http://ofa.bo/2cfsWE1Â  #WomensEqualityDay,,America,United States,-0.3818
650,650,2013/12/19_13:06,In Florida business owners and the self-employed are seeing big savings thanks to the Affordable Care Act:http://OFA.BO/RQZUPAÂ,,Florida,United States,0.7269
93,93,2016/05/04_13:11,LIVE: President Obama is speaking at Northwestern High School in Flint Michigan.,,Flint Michigan,United States,0.0
593,593,2014/02/19_12:40,Retweet if you believe America deserves a raise.,,America,United States,0.0
585,585,2014/02/25_12:45,President Obama: I don't want the next big job-creating discovery to come from Germany China or Japan.,,Germany,Germany,-0.0572
415,415,2014/10/02_11:51,America is better poised to lead and succeed in the 21st century than any other nation on Earth.,,America,United States,0.7964
499,499,2014/06/23_11:26,Even if Republicans in Congress refuse to budge on this issue this year everyone knows America deserves a raise.,,America,United States,-0.29600000000000004
667,667,2013/11/29_10:58,Turkey.,,Turkey,Turkey,0.0
728,728,2013/08/28_14:07,Change does not come from Washington but to Washington.,,Washington,United States,0.0
827,827,2013/05/22_09:07,Tell Congress we need smart #immigration reform to attract & keep talent in the US.,,US,United States,0.7906
738,738,2013/08/22_07:36,President Obama will be in New York and Pennsylvania today to talk about how to #MakeCollegeAffordable: http://OFA.BO/vSizEtÂ,,Pennsylvania,United States,0.0
876,876,2013/02/26_10:29,"'â€� #JobsOverCuts,https://twitter.com/BarackObama/status/306471123091075073,272,114,
2013/02/26_10:23,https://twitter.com/BarackObama,Watch live: President Obama speaks in Virginia about why Congress should prevent severe spending cuts.",,Virginia,United States,-0.5719
604,604,2014/02/05_13:27,Join the team that cares about getting America covered:http://ofa.bo/f3vÂ,,America,United States,0.6369
849,849,2013/04/03_14:24,"President Obama: ""Itâ€™s now been just over 100 days since the murder of 20 innocent children and 6 brave educators in Newtown.""",,Newtown,United States,0.0258
685,685,2013/11/12_15:15,Congratulations to the Aloha State.,,the Aloha State,United States,0.5994
858,858,2013/03/29_12:07,FACT: Obama's clean fuel standards would prevent tens of thousands of asthma attacks and save billions of dollars in lost productivity.,,Obama,Japan,0.2023
